"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Cycl..Number";"0.999403989817112";"10";"0.0975125381781096";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.99995243621722";"3.50000121471923";"2.99997680552472"
"Cycl..Density";"0.950946754060785";"2850";"5.17180349422778e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"4.87547742387049";"15.4604858704295";"8.17297878823063"
"Halstead.Bugs";"0.997313151201903";"190";"6.9704642598219e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-0.0115253207620346";"-0.0099545494231225";"-0.0109778635753844"
"Halstead.Difficulty";"0.990992638419782";"620";"2.14237120073415e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.03654486900905";"-0.431006304247182";"-0.648171773078009"
"Halstead.Effort";"0.997094513781632";"647";"4.03059587261304e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-468.664521472853";"-150.202472366765";"-259.009682268892"
"Halstead.Length";"0.995952385859364";"79";"1.0476504946757e-13";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-5.00001929299264";"-4.99998140704051";"-5.00007710605086"
"Halstead.Time";"0.997094513781632";"647";"4.03059587261304e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-26.0370811619321";"-8.34448971811938";"-14.389382048433"
"Halstead.Vocabulary";"0.997687909560596";"104.5";"3.21979136729305e-12";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-3.00001614019895";"-2.4999980269755";"-2.99996805771034"
"Halstead.Volume";"0.997443154627617";"188";"6.59697664344215e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-35.2795301199947";"-29.445948856493";"-32.2152626463736"
"Halstead.Identifiers.Distinct";"0.998692765818017";"0";"3.42280357671203e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.50006519729376";"-1.00007296021842";"-1.49999969932361"
"Halstead.Identifiers.Total";"0.998419700945929";"228.5";"3.27890538050314e-11";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.00000879808307";"-0.999973182656168";"-1.00007495260054"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.981367266798062";"173.5";"1.07985372382991e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.49994951312476";"-1.50005482401212";"-1.99992298244093"
"Halstead.Identifiers.Total.1";"0.996055687643445";"74";"2.79374413246477e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-4.00004649510861";"-3.99999365038118";"-4.00007197720718"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"0.997267894475003";"0";"4.78548397437734e-05";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-8.99999694651434";"-2.00000054501874";"-3.00004753620218"
"LOC.Logical";"0.992183400062541";"0";"6.80154240353298e-16";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-1.00005914572111";"-1";"-1.00005451516728"
"Associated.with.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors.2";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
